Alt,u,v,temp,bv2
31005,-0.00782562484604377,0.0193292490472126,4.97272727272502,NaN
31014,-0.0169051160187088,0.0221862697847399,-2.48636363636069,NaN
31023,-0.0174380830903615,0.0219221022796736,-9.94545454545369,NaN
31032,-0.012070973414513,-0.00321516365858265,9.9454545454555,NaN
31040,-0.00628446643153246,-0.0284151801676233,0,NaN
31049,0.00896637680136969,-0.0546211752614996,-9.9454545454555,NaN
31058,0.024659367737998,-0.0807178109274953,9.94545454545369,NaN
31067,0.0498641027814077,-0.107331737464075,0,NaN
31076,0.00913622186926055,0.11478860067289,-9.94545454545369,NaN
31085,0.0386582226855161,0.0636291792950903,9.94545454545369,NaN
31094,-0.0304196940676587,0.0231288970939201,2.48636363636251,NaN
31103,-0.00844815102390051,-0.0291822911789137,-7.45909090909117,NaN
