Alt,u,v,temp,bv2
11840,-1.35382549850869,-1.76441756835163,-549.974542829676,0.00220860055551151
11845,-1.26701057399486,-1.75716265976391,-543.630606352292,0.000390789825217725
11850,-1.27922245635519,-1.7638250612722,-537.286669874909,0.00220987128789191
11855,-1.29133986064204,-1.77046909810336,-558.292733397528,0.00233626873622963
11859,-1.30345726492889,-1.77711313493451,-551.948796920145,0.0003917000604182
11864,-1.31557466921575,-1.78375717176567,-545.604860442763,0.00220741668972099
11869,-1.22857078855496,-1.77646553382369,-566.610923965382,0.00220322528155098
11873,-1.24059371476833,-1.78309120597772,-560.293310875873,0.000392666983459186
11878,-1.15349535603407,-1.77578120335861,-553.975697786364,0.00233583280932346
11883,-1.16532932610048,-1.78237014615838,-575.008084696854,0.00220079991797631
11888,-1.23253297324172,-1.41782139655746,-568.690471607346,0.000393585994572461
11892,-1.14539182231441,-1.40844680763199,-562.399181905708,0.0022020779462634
11897,-1.15692502737312,-1.41469730053341,-583.457892204071,0.00219868587664408
11902,-1.06968939837233,-1.40530434693081,-577.140279114561,0.00233112660265078
11908,-1.08112812535757,-1.4115364751551,-598.198989412927,0.00232733475012211
11913,-1.05650034951768,-1.02684785693619,-591.907699711293,0.00219672508986937
11919,-1.06783920079324,-1.03256262077701,-612.966410009656,0.00219336040917279
11924,-1.07908326787697,-1.03826067160747,-606.701443695894,0.000527586111334984
11929,-0.991846559659489,-1.02659390467123,-600.436477382131,0.00232673304220779
11935,-1.00298345964546,-1.0319916273169,-621.521511068368,0.00219070362976815
11940,-0.985517330558366,-0.642469829573992,-615.256544754604,0.00219209943328135
11946,-0.996464662160705,-0.647834126198932,-636.341578440843,0.0023204367267588
11951,-0.909154491226449,-0.634100810275855,-630.076612127079,0.00052983009959127
11957,-0.919912254445141,-0.639431680880071,-623.811645813317,0.00232240691048016
11962,-0.832507299319072,-0.625681651946632,-644.923002887426,0.00218584104725346
11967,-0.920495752502514,-0.250845451555341,-638.684359961537,0.000398435051240757
11973,-0.83332021667427,-0.234599076534612,-632.445717035647,0.00232039515455987
11978,-0.746049619408055,-0.218337645261234,-653.557074109758,0.00231667270397015
11984,-0.658779022141829,-0.202076213987855,-647.318431183867,0.000532598810392906
11989,-0.669228123511012,-0.206590895543602,-641.079788257977,0.00218501328805282
11994,-0.667232299908747,0.19505908223333,-662.191145332086,0.00218171734831456
12000,-0.580146856025667,0.213338436925535,-655.978825794069,0.00231617071650061
12005,-0.49306141214258,0.231617791617741,-677.11650625605,0.00231247560844287
12011,-0.405880906821523,0.249912202562595,-670.877863330161,0.000401041189225925
12016,-0.412412664548711,0.658819836951829,-664.665543792142,0.00218054922669707
12021,-0.325566166276371,0.678648004460791,-685.803224254123,0.00231052983811259
12027,-0.335654456439805,0.674300695420149,-679.590904716106,0.000536164754921083
12032,-0.248713173975645,0.694145575939472,-673.404908565963,0.00217799007380251
12038,-0.161684494600419,0.714289278339665,-694.542589027944,0.00217473453335876
12043,-0.176911474919311,1.12982627910662,-688.330269489925,0.000537449906496544
12049,-0.0902250013509551,1.15167640946746,-682.117949951908,0.00231060429930218
12054,-0.00353852778260233,1.1735265398283,-703.281953801765,0.00217220445440492
12059,0.0832304203432663,1.19567532017763,-697.09595765162,0.000404180727261903
12065,0.169999368469135,1.21782410052697,-690.883638113603,0.00230869956972878
12070,0.14539038540391,1.6419472199627,-712.047641963458,0.00230505855162311
12076,0.135756319284511,1.63824752182251,-705.861645813315,0.000405098663986086
12081,0.222231194520724,1.66239323846904,-699.675649663171,0.00217179836798104
12086,0.212674684354923,1.65899193254424,-720.865976900901,0.00216778866125872
12090,0.203212958380945,1.6556073396298,-714.70630413863,0.000406132955433075
12095,0.193751232406967,1.65222274671535,-708.520307988487,0.00216910671455772
12100,0.184384290624806,1.64885486681127,-729.684311838344,0.00216590455124315
12104,0.175112133034464,1.64550369991756,-723.524639076071,0.000406862824402877
12109,0.165839975444126,1.64215253302384,-717.364966313802,0.00216722652495165
12113,0.252862510189381,1.66667153877756,-738.555293551528,0.00216324004731472
12118,0.243853659532615,1.66364352195994,-732.369297401385,0.000407906155520206
12122,0.234939593067676,1.66063221815268,-726.209624639112,0.00216456380213094
12127,0.226025526602736,1.65762091434543,-747.39995187684,0.0021613878204209
12131,0.217206244329613,1.65462632354854,-741.240279114567,0.000408642417482456
12136,0.208481746248314,1.65164844576201,-735.106929740168,0.00216271555043644
12140,0.0803625697475461,2.05226766803258,-756.32358036577,0.00215875204283272
12145,0.167336122247413,2.07882625214715,-750.190230991371,0.00040969490730017
12149,0.158773983342794,2.07616437879982,-744.030558229098,0.000409837486865334
12154,0.150306628629998,2.07351921846284,-737.8972088547,0.00202368815726821
12158,0.141839273917203,2.07087405812587,-759.113859480301,0.00215713177042107
12163,0.133466703396227,2.06824561079926,-752.980510105903,0.000410638090668602
